iter	F1	Logloss
375	0.6585780046	0.6317750502
376	0.6586747362	0.6316521016
377	0.6587346749	0.6316332467
378	0.6587120094	0.6316058536
379	0.6587208363	0.6315911965
380	0.6587689675	0.6315745473
381	0.6587121122	0.6315561192
382	0.6588203341	0.6314410684
383	0.6588777996	0.6314150272
384	0.658994332	0.6312995494
385	0.6590266774	0.6312754293
386	0.6590265292	0.6312468978
387	0.6590067723	0.6311751067
388	0.6590342145	0.6311533345
389	0.659223033	0.6310417701
390	0.6592316102	0.6310005738
391	0.6591827493	0.6309702635
392	0.6591973021	0.6309442223
393	0.6592574383	0.6309201022
394	0.6593322235	0.6308936341
395	0.6593190003	0.6308609047
396	0.6593144496	0.6308367135
397	0.6593862072	0.630794023
398	0.6594612312	0.6307689068
399	0.6595001715	0.6306848777
400	0.6595619399	0.6306569866
401	0.6595571201	0.6306411199
402	0.6595792417	0.630560933
403	0.6596613548	0.6305173175
404	0.6596991229	0.6304745559
405	0.6596369363	0.6304483724
406	0.6597441263	0.6303766524
407	0.6597266421	0.6303527457
408	0.6596948782	0.6303338908
409	0.6597052021	0.6303003076
410	0.6597502675	0.6302823064
411	0.6598254453	0.6301948621
412	0.6598238887	0.6301671133
413	0.6598743105	0.6300841515
414	0.659901895	0.6300524894
415	0.6599190283	0.6300276577
416	0.6598579405	0.6300031819
417	0.6599545475	0.629974935
418	0.6599329071	0.6298830793
419	0.6599482736	0.6298647936
420	0.659983205	0.629849425
421	0.6599892499	0.6298189013
422	0.6600498206	0.629800829
423	0.6600686852	0.6297791991
424	0.6600453319	0.6297592769
425	0.6600434353	0.629725338
426	0.6600534098	0.6296837859
427	0.6600623873	0.6296635791
428	0.660133188	0.6296323439
429	0.6601552382	0.6296156946
430	0.6601590074	0.62960552
431	0.6601342746	0.6295897957
432	0.6601110497	0.6295685216
433	0.6602002949	0.6295342269
434	0.6601826464	0.6295137355
435	0.6602265415	0.6294456442
436	0.6602772031	0.6293664534
437	0.660315129	0.6292706132
438	0.6603498101	0.6292456393
439	0.6603513592	0.6292271401
440	0.6603761768	0.6291939127
441	0.6603831858	0.6291528587
442	0.6604249143	0.629089321
443	0.6604406048	0.629051113
444	0.6605217226	0.6289525692
445	0.6605523611	0.6289162111
446	0.660651956	0.6288210825
447	0.6606355954	0.6287966066
448	0.6606486732	0.6287610312
449	0.6606427698	0.6287497182
450	0.6606704683	0.6287216848
451	0.6606672254	0.6286964263
452	0.6606644101	0.628676931
453	0.6607071104	0.6286443439
454	0.6607285595	0.6286196546
455	0.6607515139	0.628598167
456	0.6607902486	0.6285739046
457	0.6607814542	0.6285433809
458	0.6608103116	0.6285161302
459	0.6608230851	0.6284910139
460	0.6608531068	0.628463692
461	0.6608962074	0.6284491061
462	0.6608427344	0.6284328126
463	0.660866033	0.6284030716
464	0.6608988016	0.6283845723
465	0.6609437794	0.6283588158
466	0.6609859618	0.6282648255
467	0.6610115278	0.6282513069
468	0.6610594014	0.6282170122
469	0.6610170224	0.6281896903
470	0.6610580819	0.628164076
471	0.6611802437	0.6281108552
472	0.6612237489	0.628088585
473	0.6612437544	0.6280606939
474	0.6612591935	0.6279794397
475	0.6612533716	0.6279656364
476	0.6613097039	0.6279442201
477	0.6613484681	0.6279024545
478	0.6613626932	0.6278773383
479	0.6613379445	0.6278667368
480	0.6613435933	0.6278573449
481	0.6613679644	0.6278298096
482	0.661365174	0.6278076105
483	0.6614040131	0.6277938784
484	0.6613344978	0.6277749523
485	0.6613531175	0.627754532
486	0.6613965232	0.627728562
487	0.6614223611	0.6277060783
488	0.6613979871	0.6276939827
489	0.6614223271	0.6276781161
490	0.6614727786	0.6276459559
491	0.6615208036	0.6276295201
492	0.6615488384	0.6275420757
493	0.6615852868	0.627520019
494	0.6615942295	0.6275045793
495	0.6616585889	0.627412937
496	0.6617126574	0.6273237139
497	0.6618444612	0.6272398271
498	0.6618534231	0.6272110822
499	0.6618603605	0.6271861794
500	0.6618239853	0.6271720916
501	0.6618497797	0.627150604
502	0.6618483797	0.6271291165
503	0.6619307738	0.6270960314
504	0.6620115477	0.6270726228
505	0.6620533658	0.6270588195
506	0.66208913	0.6270286516
507	0.6621061055	0.6269994797
508	0.6621163067	0.6269691695
509	0.6621566677	0.6269567181
510	0.6621451234	0.6269362978
511	0.662281878	0.6268541187
512	0.6622197421	0.6268291447
513	0.6623146274	0.6267669589
514	0.662367722	0.6267143073
515	0.6623902593	0.6266588809
516	0.6624552993	0.6266362549
517	0.6624378002	0.6266171865
518	0.6625301262	0.6265609062
519	0.6625457598	0.6265283903
520	0.6625631218	0.6265110295
521	0.6625875979	0.6264889728
522	0.6625531676	0.6264637854
523	0.6626485172	0.6264417998
524	0.6625978443	0.626423514
525	0.6626195056	0.6264008881
526	0.6626111148	0.6263703644
527	0.6626214905	0.6263484499
528	0.6627205109	0.6262945176
529	0.6627797044	0.6262587999
530	0.6627537687	0.6262468466
531	0.6628519013	0.6262274224
532	0.6628330856	0.6262134769
533	0.6629298073	0.6261947642
534	0.6629412808	0.6261595446
535	0.6629716405	0.6261356379
536	0.6629572261	0.6261168541
537	0.6629973627	0.6261036912
538	0.6631112765	0.6260388017
539	0.663104057	0.6260034397
540	0.6631820571	0.6259836598
541	0.6631850397	0.625966299
542	0.6632097676	0.6259519265
543	0.6631765446	0.6259426058
544	0.6632515095	0.6259161377
545	0.6632269174	0.625905892
546	0.6631717644	0.625884191
547	0.6631893439	0.625861067
548	0.6631977499	0.6258432081
549	0.6632524568	0.6258197995
550	0.6632912269	0.6257909123
551	0.6632680881	0.6257659383
552	0.6632578651	0.6257424586
553	0.6632780905	0.6257278015
554	0.6633141908	0.6257092312
555	0.6633358938	0.6256871744
556	0.6634135786	0.6256392899
557	0.6634424796	0.6256222849
558	0.6635393091	0.6256049952
559	0.6635767808	0.6255727639
560	0.6635653145	0.6255512052
561	0.6635623623	0.6255423114
562	0.6636402388	0.6255006882
563	0.6636850282	0.6254763546
564	0.6637022997	0.6254652551
565	0.6637786842	0.6254367236
566	0.6637930288	0.6254200743
567	0.6638378164	0.6253931082
568	0.6639345326	0.6253399585
569	0.6639013666	0.6253183998
570	0.6639549274	0.6253002564
571	0.6639734632	0.6252727922
572	0.6639128055	0.6252582062
573	0.6640081357	0.6252259749
574	0.6640371451	0.6252093256
575	0.664018451	0.6251874112
576	0.6640529833	0.6251563183
577	0.6640542845	0.6250812542
578	0.6640889047	0.6250677356
579	0.6640961394	0.6250488094
580	0.6641380101	0.6250347216
581	0.664155385	0.6250172185
582	0.6642709562	0.6249297742
583	0.6642853589	0.6249058675
584	0.6642866261	0.6248319418
585	0.6643385241	0.6248128022
586	0.6643123763	0.6247942319
587	0.6643614938	0.6247731713
588	0.6643788933	0.624760791
589	0.6643613142	0.6247176025
590	0.6643642493	0.6246990321
591	0.6643671097	0.6246771177
592	0.6643770843	0.6246603972
593	0.6644144827	0.6246056823
594	0.664453251	0.6245469829
